Ecuador,France,2010,,9,,AS-350/AS-550 Fennec,light helicopter,3,?,2014;2015,New,Incl 2 AS-350B2 and 7 AS-550C3 version,0.9,8.1,2.7;;;;;;;;;;;;;
Egypt,France,2015,,500,?,AASM Hammer,air-to-surface missile,500,?,2016;2017;2018;2019,New,For Rafale combat aircraft,0.2,100,100;;;;;;;;;;;
Egypt,France,2015,,150,?,MICA,long-range air-to-air missile,150,?,2015;2016;2017;2018;2019,New,For Rafale combat aircraft,0.4,60,60;;;;;;;;;;
Egypt,France,2021,,4,,VL-MICA-M,naval SAM system,3,,2022;2023,New,For MEKO-200 frigates;VL-MICA NG version,5,20,15;;;;;;;;;;;;
Egypt,France,2014,,4,,Gowind-2500,frigate,4,?,2017;2021;2022;2023,New,EUR1 b deal (incl option on 2 more);incl 3 produced under licence in Egypt;Egyptian designation El Fateh,211,844,844;;;;;;;;;
Egypt,France,2020,,2,,BlueMaster,anti-submarine sonar,2,,2020;2021,New,For 2 FREMM frigates from Italy,10,20,20;;;;;;;;;;;;;
Egypt,France,2012,,173,?,Sherpa,armoured personnel carrier,77,,2014,New,,0.25,43.25,19.25;;;;;;;;;;;;;;
Egypt,France,2015,?,50,?,Storm Shadow/SCALP-EG,air-to-surface missile,50,?,2021;2022,New,SCALP version;for Rafale combat aircraft,0.64,32,32;;;;;;;;;;;;
Egypt,France,2015,,12,?,TALIOS,aircraft electro-optical system,12,?,2016;2017;2018,New,For Rafale combat aircraft,1,12,12;;;;;;;;;;;;
Egypt,France,2015,,15,?,MM-40-3 Exocet,anti-ship/land-attack missile,15,?,2015,New,For FREMM frigate,1,15,15;;;;;;;;;;;;;;
Egypt,France,2015,,2,,Mistral,amphibious assault ship,2,,2016,New,EUR950 m ($1 b) deal;originally produced for Russia but cancelled 2015 after EU sanctions on Russia and sold to Egypt;Egyptian designation Nasser,338.5,677,677;;;;;;;;;;;;
Egypt,France,2015,,100,?,MICA,long-range air-to-air missile,100,?,2017;2021;2022;2023,New,For Gowind frigates,0.4,40,40;;;;;;;;;;;
Egypt,France,2022,?,100,?,Akeron-MP,anti-tank missile,100,?,2022;2023,New,,0.03,3,3;;;;;;;;;;;;;
Egypt,France,2015,,24,,Rafale,FGA aircraft,24,,2015;2016;2017;2018;2019,New,Part of $5.2-6 b deal;incl 8 Rafale-EM and 16 Rafale-DM version,55,1320,1320;;;;;;;;;
Egypt,France,2010,?,1,,MRR-3D,air-search radar,1,,2015,New,For 1 Ambassador-4 corvette from USA,10,10,10;;;;;;;;;;;;;;
Egypt,France,2006,?,3,,MRR-3D,air-search radar,1,,2015,New,For 3 Ambassador-4 corvettes from USA;possibly from production line in USA,10,30,10;;;;;;;;;;;;;
