VolkerFitzpatrick Overseas Ltd,17,100,0,0,
Mace Ltd,17,85,15,0,
XMA Ltd,16,91,0,9,[note 17] [note 18]
Cubic Defence UK Ltd,16,0,100,0,
Defence Management (Watchfield) Ltd,16,100,0,0,
Altrad Babcock Ltd,16,20,80,0,
Crown Hosting Data Centres Ltd,15,72,14,14,[note 18]
Mastek (UK) Ltd,15,68,6,26,[note 18]
Nuvia Ltd,15,66,34,0,
Unioil Supply A/S,15,100,0,0,
City of Westminster,15,0,0,100,
Falkland Islands Government,15,0,0,100,[note 15]
Oracle Corporation UK Ltd,15,0,99,1,[note 17] [note 18]
Halo (Appledore) Realisations Ltd,15,100,0,0,
Ernst & Young LLP,15,98,0,2,[note 17]
CRFS Ltd,15,0,100,0,[note 17]
Chemring Energetics UK Ltd,14,0,100,0,[note 17]
The Argyll & Bute Council,14,0,0,100,
Commissariat à l'Énergie Atomique,14,0,0,100,[note 15]
Arcadis LLP,14,41,59,0,
North Yorkshire Council,14,0,0,100,
World Fuel Services Europe Ltd,14,99,0,1,
Cook Defence Systems Ltd,14,92,8,0,
BAE Systems GCS International Ltd,14,0,100,0,
Logiq Consulting Ltd,14,97,3,0,
NSAF Ltd,13,0,100,0,
Laing O'Rourke Delivery Ltd,13,100,0,0,
James Fisher Everard Ltd,13,100,0,0,
McKinsey & Company Inc United Kingdom,13,100,0,0,
NHS Pension Scheme,13,0,0,100,[note 13]
Eviden Technology Services Ltd,13,100,0,0,
Government for The Republic of Estonia,13,0,0,100,[note 15]
Horstman Defence Systems Ltd,13,81,19,0,
EntServ UK Ltd,12,100,0,0,
Allstar Business Solutions Ltd,12,0,0,100,[note 17]
Galliford Try Construction Ltd,12,100,0,0,
Pearson Engineering Ltd,12,89,11,0,[note 17]
i3Works Ltd,12,99,1,0,
Drumgrange Ltd,12,79,21,0,
Cranfield University,12,5,59,36,[note 17]
Security Services Group,12,0,38,62,[note 17]
The Moray Council,12,0,0,100,
Softcat PLC,12,92,0,8,[note 17] [note 18]
Sea Cadet Corps,11,0,0,100,
CAE Aircrew Training Services PLC,11,100,0,0,
NSSIF,11,0,0,100,[note 13]
People Source Consulting Ltd,11,100,0,0,
Government for The Republic of Lithuania,11,0,0,100,[note 15]
General Dynamics Ordnance and Tactical Systems-Canada Inc,11,5,95,0,
Providence Global ITF Ltd,11,2,90,8,[note 17]
Jacobs UK Ltd,11,32,39,29,[note 17]
