Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
Ireland,United Kingdom,2016,,1,,PV-90,patrol ship,1,,2019,New,,34.85,34.85,34.85;;;;;;;;;
Ireland,United Kingdom,2010,,2,,PV-90,patrol ship,2,,2014;2015,New,EUR99 m deal,34.85,69.7,69.7;;;;;;;;
Italy,United Kingdom,2016,,2,,MT-30,gas turbine,2,,2024,New,For 1 Trieste aircraft carrier/amphibious assault ship produced in Italy,12,24,24;;;;;;;;;
Italy,United Kingdom,2008,,4,,Seaspray,maritime patrol aircraft radar,4,?,2017,New,Seaspray-7000E or Seaspray-7300 version for 4 ATR-72 MP aircraft produced in Italy,2,8,8;;;;;;;;;
Japan,United Kingdom,2018,?,12,,MT-30,gas turbine,6,?,2022;2023;2024,New,For 12 Mogami (FFM or 30DDX) frigates produced in Japan;probably assembled or produced under licence in Japan,12,144,72;;;;;;
Japan,United Kingdom,2015,,6,,air refuel system,air refuel system,4,,2021;2022;2024,New,For 6 KC-46A tanker/transport aircraft from USA,10,60,40;;;;;;;
Japan,United Kingdom,2007,,16,,Spey,turbofan,8,,2014,New,Spey SM1C version for 4 Akizuki frigates produced in Japan,2,32,16;;;;;;;;;
Japan,United Kingdom,2003,,14,,AW101,transport helicopter,6,?,2015;2016;2017;2018;2019,New,$518 m 'MCH-X' programme;13 assembled in Japan;incl 3 CH-101 transport version (incl for support of scientific missions in Antarctica) and 11 MCH-101 MCM version,12.5,175,75;;;
Jordan,United Kingdom,2016,?,5,,COBRA,artillery locating radar,5,,2016,Second hand,Second-hand,4,20,20;;;;;;;;;
Jordan,United Kingdom,2015,?,8,,T-67 Firefly,trainer aircraft,8,,2015,Second hand,Second-hand,0.06,0.51,0.51;;;;;;;;;
Kuwait,United Kingdom,2017,?,8,,Thales ROTSS,armoured personnel carrier turret,8,?,2017,New,For modernization of 8 Condor APC,0.1,0.8,0.8;;;;;;;;;
Latvia,United Kingdom,2019,,40,?,Scimitar,light tank,40,?,2020;2021;2022,Second hand,Second-hand,0.33,13.28,13.28;;;;;;;
Latvia,United Kingdom,2014,,73,?,Spartan,armoured personnel carrier,73,?,2015;2016;2017;2018;2019;2020,Second hand,Second-hand;part of GBP39 m/EUR48 m ($60 m) deal; incl Sultan command post;Samaritan ambulance and Samson ARV versions,0.1,7.3,7.3;
Latvia,United Kingdom,2014,,50,?,Scimitar,light tank,50,?,2015;2016;2017;2018;2019;2020,Second hand,Second-hand;part of GBP39 m/EUR48 m ($60 m) deal,0.33,16.6,16.6;;;
Latvia,United Kingdom,2019,,42,?,Spartan,armoured personnel carrier,42,?,2020;2021;2022,Second hand,Second-hand,0.1,4.2,4.2;;;;;;;
Malawi,United Kingdom,2015,?,1,,SA-341 Gazelle,light helicopter,1,,2016,Second hand,Second-hand; supplier uncertain;SA-341B version,0.32,0.32,0.32;;;;;;;
Malaysia,United Kingdom,2005,?,4,?,air refuel system,air refuel system,4,,2015;2016;2017,New,For 4 A400M transport aircraft from Spain,10,40,40;;;;;;;
Malaysia,United Kingdom,2015,,150,?,Starstreak,SAM,150,?,2016;2017;2018;2020,New,For Forcefield SAM system,0.09,13.5,13.5;;;;;;
Malaysia,United Kingdom,2015,,1,?,Forceshield,SAM system,1,?,2016,New,,7.5,7.5,7.5;;;;;;;;;
Mauritania,United Kingdom,2015,,4,?,AT-105 Saxon,armoured personnel carrier,4,?,2016,Second hand,Second-hand; delivered via France;for use in UN operation in Central African Repiblic,0.08,0.32,0.32;;;;;;;
Morocco,United Kingdom,2016,?,2,,Seaspray,maritime patrol aircraft radar,2,,2018,New,Seaspray-7300 version;for modification of 2 King Air light transport aircraft (from USA) in France to MP aircraft,2,4,4;;;;;;;;
NATO**,United Kingdom,2016,,20,?,Trent-700,turbofan,16,,2020;2021;2022;2024,New,Trent-772B version for 10 A-330 MRTT tanker/transport aircraft from France,6,120,96;;;;;;
NATO**,United Kingdom,2016,,10,,air refuel system,air refuel system,8,,2020;2021;2022;2024,New,For 10 A-330 MRTT tanker/transport aircraft from France,10,100,80;;;;;;
New Zealand,United Kingdom,2014,,250,?,CAMM,SAM,250,?,2020;2021;2022,New,For modernized MEKO-200 (Anzac) frigates,0.35,87.5,87.5;;;;;;;
Oman,United Kingdom,2019,?,48,?,ASRAAM,long-range air-to-air missile,48,?,2022;2023,New,For Typhoon combat aircraft,0.18,8.64,8.64;;;;;;;;
Oman,United Kingdom,2007,,3,,Al Shamikh,frigate,1,,2014,New,$700 m 'Khareef' programme,144.5,433.5,144.5;;;;;;;;;
Oman,United Kingdom,2012,,8,,Hawk-100,trainer/combat aircraft,8,,2017,New,Part of GBP2.5 b ($4 b) deal;Hawk-166 (Hawk AJT) version,10,80,80;;;;;;;;
Oman,United Kingdom,2012,,12,,Typhoon Block-20,FGA aircraft,12,,2017;2018,New,Part of GBP2.5 b ($4 b) deal;Typhoon Block-30N (Tranche-3A) version,57.5,690,690;;;;;;;
Oman,United Kingdom,2012,,4,?,EJ-200,turbofan,4,?,2017;2018,New,Spares for Typhoon combat aircraft,2.5,10,10;;;;;;;;
Pakistan,United Kingdom,2015,,4,,ship engine,ship engine,4,,2018;2021,New,MAN-Ruston 20RK-270 diesel engine for 2 Kashmir patrol ships from China,2.5,10,10;;;;;;;;
Pakistan,United Kingdom,2016,?,3,,Seaspray,maritime patrol aircraft radar,3,,2018;2019;2022,New,Seaspray-7300 version;for 3 ATR-72 ASW aircraft from Germany,2,6,6;;;;;;
Pakistan,United Kingdom,2017,,4,,Sea King/Commando,transport helicopter,4,,2017;2018,Second hand,Second-hand (2 more delivered for spare parts);Commando HC-4+ version,2.7,10.8,10.8;;;;;;;
Pakistan,United Kingdom,2016,,1,,Sea King HAR-3,transport helicopter,1,,2018,Second hand,Second-hand;Sea king HAR-3A version,2.7,2.7,2.7;;;;;;;;
Peru,United Kingdom,2009,?,2,?,Seaspray,maritime patrol aircraft radar,1,?,2014,New,Seaspray-7000E version for modernization of 2 Fokker-60 MP aircraft,2,4,2;;;;;;;;;
